ruta,entregable,herramienta_inferida,historia,archivo,extension,ancho_px,alto_px
images/entregable_E/leonardo/H3_refined_prompt_enhance_off/H3_S04_leonardo_phoenix_refined_v02.jpg,entregable_E,leonardo,H3,H3_S04_leonardo_phoenix_refined_v02.jpg,.jpg,1184,672
images/entregable_E/leonardo/H3_refined_prompt_enhance_off/H3_S04_leonardo_phoenix_refined_v03.jpg,entregable_E,leonardo,H3,H3_S04_leonardo_phoenix_refined_v03.jpg,.jpg,1184,672
images/entregable_E/leonardo/H3_refined_prompt_enhance_off/H3_S04_leonardo_phoenix_refined_v04.jpg,entregable_E,leonardo,H3,H3_S04_leonardo_phoenix_refined_v04.jpg,.jpg,1184,672
images/entregable_E/leonardo/H3_refined_prompt_enhance_off/H3_S07_leonardo_phoenix_refined_v01.jpg,entregable_E,leonardo,H3,H3_S07_leonardo_phoenix_refined_v01.jpg,.jpg,1184,672
images/entregable_E/leonardo/H3_refined_prompt_enhance_off/H3_S07_leonardo_phoenix_refined_v02.jpg,entregable_E,leonardo,H3,H3_S07_leonardo_phoenix_refined_v02.jpg,.jpg,1184,672
images/entregable_E/leonardo/H3_refined_prompt_enhance_on/H3_S01_leonardo_phoenix_refined_v01.jpg,entregable_E,leonardo,H3,H3_S01_leonardo_phoenix_refined_v01.jpg,.jpg,1184,672
images/entregable_E/leonardo/H3_refined_prompt_enhance_on/H3_S01_leonardo_phoenix_refined_v02.jpg,entregable_E,leonardo,H3,H3_S01_leonardo_phoenix_refined_v02.jpg,.jpg,1184,672
images/entregable_E/leonardo/H3_refined_prompt_enhance_on/H3_S01_leonardo_phoenix_refined_v03.jpg,entregable_E,leonardo,H3,H3_S01_leonardo_phoenix_refined_v03.jpg,.jpg,1184,672
images/entregable_E/leonardo/H3_refined_prompt_enhance_on/H3_S01_leonardo_phoenix_refined_v04.jpg,entregable_E,leonardo,H3,H3_S01_leonardo_phoenix_refined_v04.jpg,.jpg,1184,672
images/entregable_E/leonardo/H3_refined_prompt_enhance_on/H3_S04_leonardo_phoenix_refined_v01.jpg,entregable_E,leonardo,H3,H3_S04_leonardo_phoenix_refined_v01.jpg,.jpg,1184,672
images/entregable_E/leonardo/H3_refined_prompt_enhance_on/H3_S04_leonardo_phoenix_refined_v02.jpg,entregable_E,leonardo,H3,H3_S04_leonardo_phoenix_refined_v02.jpg,.jpg,1184,672
images/entregable_E/leonardo/H3_refined_prompt_enhance_on/H3_S04_leonardo_phoenix_refined_v03.jpg,entregable_E,leonardo,H3,H3_S04_leonardo_phoenix_refined_v03.jpg,.jpg,1184,672
images/entregable_E/leonardo/H3_refined_prompt_enhance_on/H3_S04_leonardo_phoenix_refined_v04.jpg,entregable_E,leonardo,H3,H3_S04_leonardo_phoenix_refined_v04.jpg,.jpg,1184,672
images/entregable_E/leonardo/H3_refined_prompt_enhance_on/H3_S07_leonardo_phoenix_refined_v01.jpg,entregable_E,leonardo,H3,H3_S07_leonardo_phoenix_refined_v01.jpg,.jpg,1184,672
images/entregable_E/leonardo/H3_refined_prompt_enhance_on/H3_S07_leonardo_phoenix_refined_v02.jpg,entregable_E,leonardo,H3,H3_S07_leonardo_phoenix_refined_v02.jpg,.jpg,1184,672
images/entregable_E/leonardo/H3_refined_prompt_enhance_on/H3_S07_leonardo_phoenix_refined_v03.jpg,entregable_E,leonardo,H3,H3_S07_leonardo_phoenix_refined_v03.jpg,.jpg,1184,672
images/entregable_E/leonardo/H3_refined_prompt_enhance_on/H3_S07_leonardo_phoenix_refined_v04.jpg,entregable_E,leonardo,H3,H3_S07_leonardo_phoenix_refined_v04.jpg,.jpg,1184,672
images/entregable_E/ideogram/H3_refined_with_reference/H3_S01_ideogram_refined_with_reference_v01.jpeg,entregable_E,ideogram,H3,H3_S01_ideogram_refined_with_reference_v01.jpeg,.jpeg,1376,768
